Empfänger-ID;NAME1;NAME2;STRASSE;PLZ;STADT;LAND
577004;ADOLF DARBO AG;;DORNAU 18;6135;STANS;AT
571282;ALFRED PAULSEN GMBH & CO.KG;FEINSAURE DELIKATESSEN;ALFRED-PAULSEN-STR;21758;OTTERNDORF;DE
534049;ALLOS SCHWARZWALD GMBH;;ZINKMATTENSTRASSE 18 B;79108;FREIBURG IM BREISGAU;DE
573022-01;ALTONAER KAVIAR;;SCHMARJESTR. 44;22767;HAMBURG;DE
534102;ANDECHSER MOLKEREI SCHEITZ GMBH;;BIOMILCHSTRASSE 1;82346;ANDECHS;DE
536000;ANDROS DEUTSCHLAND GMBH;;BAHNHOFSTR.31;64747;BREUBERG;DE
594091-24;ANDROS DEUTSCHLAND GMBH;;BAHNHOFSTR. 31;64747;BREUBERG;DE
594108;Apimiel SA;;Buglio 378;7743;Brusio;CH
594074-1;AUSSENLAGER MOLKEREI RUECKER;;SCHMIEDESTRASSE 16-18;26629;GROßEFEHN;DE
572008-01;BARDENHEWER GMBH & CO.;;HOLZKOPPELWEG 11;24118;KIEL;DE
592290;BAUERNGUT FLEISCH- UND;WURSTWAREN GMBH;SUEDSTRASSE 4;06420;KÖNNERN;DE
578007;Bienenlad van den Bongard;;Donkweg 41;47877;Willich;DE
578029;BIENEN-VOIGT & WARNHOLZ;;BEIM HAFERHOF 3;25479;ELLERAU;DE
578011;BIENENWIRTSCHAFT MEISSEN GMBH;;JAEGERSTRASSE 2;01662;MEIßEN;DE
590101-18;BIO-KONTOR 7 GMBH & CO. KG;;CARL-VON-OSSIETZKY STR. 10;83043;BAD AIBLING;DE
590094-1;BIOVISIO GMBH;;Schwarzenbacher Str. 30;95145;Oberkotzau;DE
599314;BRANDGUT;Meike Grosch & Daniel Thaung GbR;Schmajestrasse 11;22767;HAMBURG;DE
592002-11;BRAUCH SPEDITIONS-UND;TRANSPORT GMBH;OSTRING 35;74864;FAHRENBACH;DE
578013;BREITSAMER + ULRICH GMBH & CO.KG;;WEINGARTENWEG 10;91459;MARKT ERLBACH;DE
593006;BRUNI GLASS SpA;;VIALE COLOMBO, 12/14;20090;TREZZANO s/N. (MILANO);IT
593006-53;BRUNI GLASS SpA;;VIA TIBERINA 160;5021;ACQUASPARTA TR;IT
590063;BURAM GmbH;;Am Alten Walzwerk 6;16761;Henningsdorf;DE
592004-1;BURKHARDT;FEINKOSTWERKE GMBH;INDUSTRIERING 16;4626;SCHMÖLLN;DE
599408;Carl Durach GmbH & Co.KG;Sauerkraut- und Konservenfabrik;Kapellenstraße 20;86447;Todtenweiss;DE
594091-32;CARL DURACH GMBH & CO.KG;;KAPELLENSTR. 20;86447;TODTENWEISS/SAND;DE
594206-1;CARL KueHNE KG (GmbH & Co.);;NIEDERDORFER STR. 57;47638;STRAELEN - HERONGEN;DE
598031-1;Carl Wilhelm Clasen GmbH;;Irwin-Helford-Str. 2;21493;Lanken / Elmenhorst;DE
594035;CAVENDISH & HARVEY;CONFECTIONERY GMBH;CARL-ZEISS-STR. 14-16;24568;KALTENKIRCHEN;DE
534048-1;COMBI-PACK GMBH;;HETTLINGER STR. 19A;86637;WERTINGEN;DE
594081-1;DACHSER SE AUSSENLAGER;STOTTE;Erfuter Landstr. 59;99095;Erfurt;DE
592009-3;Dachser SE Logistikzentrum Berlin Brandenb.;;An den Gehren 4;12529;Schönefeld;DE
563929;Danica Foods AB;;Verkstadsvagen 11;921 45;Lycksele;DK
599349;DEP. A LOACKER SPA DA TRANSBOZE;ZONA INDUSTRIALE GLUN SS12;EISACKERSTR. 20;39040;LAJEN BZ;IT
592002;DETI GMBH;;INDUSTRIESTR. 27;74909;MECKESHEIM;DE
590345;DIE BEERENBAUERN GMBH & CO.KG;;WIESENGRUNDSTRAssE 6;91320;NIEDERMIRSBERG;DE
572068;DREISTERN-KONSERVEN;GMBH & CO.KG.;PHILIPP-OEHMIGKE-STRASSE 4;16816;NEURUPPIN;DE
596007;ECO TERRA GMBH;;AM QUARZITBRUCH 7;65817;EPPSTEIN;DE
592029-1;EDELSCHMAUS GMBH;;LEUENKAMP 6;25524;Itzehoe;DE
590092;EGESUN GMBH;;AN DER AUTOBAHN 28;28876;OYTEN;DE
592083;EIFELER FLEISCHWAREN;LUDWIG BABENDERERDE GMBH;OBERBETTINGER STR. 27;54587;LISSENDORF;DE
596003;EISBLUEMERL NATURKOST GMBH;;HOHE BIRKE 3;92283;LAUTERHOFEN/OT GEBERTSHOFEN;DE
563921;Eliza Chokolade ApS;;Jens Juuls Vej 40;8260;Viby;DE
594109;ELVIS EIS;ELVIS BOGICEVIC E.K.;OTTO-HAHN-STRAßE 3;22941;Bargteheide;DE
574114-1;EMILS BIO-MANUFAKTUR;WAGESWIESE GMBH;BERTA-OTTENSTEIN-STRASSE 17;79106;FREIBURG;DE
592294-3;ERHARDT GMBH & CO.KG;;GEWERBESTRASSE 24;77767;APPENWEIER-URLOFFEN;DE
574112-1;ERICH TRAPP GMBH & CO.KG;MEERRETTICH-SPEZIALITAETEN;FELDSTR.9;24568;KALTENKIRCHEN;DE
590105;ETIVERA VERPACKUNGSTECHNIK GMBH;;INNOVATIONSPARK 3;8321;ST.MARGARETHEN AN DER RAAB;AT
590101;Euroglas;Verpackungsgesellschaft;Am Riederloh 26;87656;Germaringen;DE
590011;FAIRFOOD FREIBURG GMBH;;MERZHAUSER STR. 112;79108;FREIBURG;DE
572008;FERD.BARDENHEWER GMBH & CO.;;HOLZKOPPELWEG 11;24118;KIEL;DE
594060;FRANK´S KONSERVEN GMBH;MEERRETTICH,KNOBLAUCH,GEWUERZE;HEROLDSBACHER STR. 8;91336;HEROLDSBACH - OESDORF;DE
597112;FRUECHTEMEER;SUSANNE LUCHT-THIESSEN;BORNHoeVEDER LANDSTRASSE 42;24601;WANKENDORF;DE
599260;FVG FRUCHTVEREDELUNG;GMBH & CO.KG;PERLINER STRASSE 20;19243;BODDIN;DE
